user1,s15703777828732809183|u57751445013|s8563948906666203907
user2,m1273038209|v26ee608365674ce49ef224f944c2907c|m1104765098|v7e949dfd932f4923b0f82d82e8c0de5d|m1325630535|m991053430|m993189565|m1322433906|m1329025041|m1051088811|m1131777838|u57758516334|m1277794903|m1223084284|v37d8667654cc4645b451236551db1141|m1017824831|m1035382237|m975025530|m1019301623|u56827018827
user3,u57763876095|m1009362125|m1123048658|m1012282237|m1038108137|u57779605418|s11409760776512355215|s12637716673294870262|m1025708042|m1230274197|u62727120893|s11584181565836183544|m1210630348|m1018572263|m1288226288|m1315236544|m1093750375|m1092128721|u57758962437|m1023854630|m1005367724|m1002816025|m1322204116
user4,s8412594623603490013|m1124483944|m1029883736|m1070737968|u57729179189|m1034257022|s10422606381693402156|m1138580000|m997374012|m964804248|u57719421076|m1030703476|m1284968694|m1020664787|s16895005168154313458|m1007062402|m1030190257|s9953470478788779841|u56857874820|m1110896524|m1346865679|m1092128721|m1013472044|s498542084515321457|u60154308588
user5,m1029675749|m1004723692|m1014544123|m1016280242|s3019915722752617984|m1002537134|m1014909486
user6,m1322431614|s10472416650636786294|m1038721940|m971155545|s5015996802295282022|m1028177873|m1261786201|m1233393653|u57727576754|m1020605384|m1283265394|m1322431584|m1110896524|u65129475625|m1035710209|m1322431569|m1317706289|u57779402996
user7,m1101014582|m1032293357|m1126447394|m1041985679|m1375648142|m997376085|m1300461528|m1039015538|m978870771|m991205638|m1360527199|v679cb853037f453cb83a4599e3072dd2|s13428685543207003260
user8,u56489128101|viqiyi_mobile_204133401|m1322431767|s2041651457792982050|m1016280242|u57758432724|m1000802966|va9776163c70859e0deb38a8a14c289c1|m1156955614|s11409760776512355215|u58309976738|m1008501388|m1283163060|s10465845449518260141|v18b17fb2840f48818d41d979da3ecb54|m1013005708|m969249006|m964804248
user9,s11566886265853257057|s4400543146751783612|m1275424432|m981280476|s16362674954175406586|s12658167318834409156|m1012282237|s8676883564542377984|m1057213800|s2221390861594640989|s15114899440248118546|s10415141556049366973|s5293123961757726667|s2946593355311562818|s10979290475626369107|s9946702052667808100|m1377068114|u57738992725|s12570113751283399372|s4069218501980273205|s17216334751073456765|s14785845413703465171|s11045852505619079289|v6a19319afeca4ff185fa62710704caa1|s9597214460504191941|va9776163c70859e0deb38a8a14c289c1|s8927024928676448198|s12443210493927239165
user10,u57736280894|u57777338375|m993189565|m1377166928|m1322431725|s10118972916347648518|m1010293394|m1322431548|m1092678405|m1002987961|m1005358824|s8773595061351511179
